"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"BA";"BA";"BAHIA";"50000605172";"10";"12";"Casa";"#NULO#";"53000,00";"19/09/2018";"13:28:50"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"BA";"BA";"BAHIA";"50000605176";"2";"39";"Outras participações societárias";"MEDICAR SAÚDE ACESSIBILIDADE LTDA, CAPITAL SOCIAL DA EMPRESA TOTALIZA 50.000,00, SENDO QUE 25.000,00 A LIQUOTA DE CADA SÓCIO";"25000,00";"19/09/2018";"13:28:50"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"BA";"BA";"BAHIA";"50000607998";"11";"63";"Dinheiro em espécie - moeda nacional";"DINHEIRO EM ESPÉCIE.";"2121300,00";"19/09/2018";"13:28:50"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"BA";"BA";"BAHIA";"50000608625";"9";"32";"Quotas ou quinhões de capital";"#NULO#";"300000,00";"21/09/2018";"12:12:50"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"BA";"BA";"BAHIA";"50000608626";"6";"63";"Dinheiro em espécie - moeda nacional";"#NULO#";"23000,00";"19/09/2018";"13:28:50"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"BA";"BA";"BAHIA";"50000607711";"8";"31";"Ações (inclusive as provenientes de linha telefônica)";"BB AÇÕES VALE, CNPJ 048816820001-30";"5000,00";"19/09/2018";"13:28:50"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"BA";"BA";"BAHIA";"50000607785";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Vera Cruz 2009/2010 utilitário";"30000,00";"19/09/2018";"13:28:50"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"BA";"BA";"BAHIA";"50000605172";"5";"19";"Outros bens imóveis";"Fazenda Santo Eugênio, 12 Ha, Casa Nova - Ba";"45200,00";"19/09/2018";"13:28:50"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"BA";"BA";"BAHIA";"50000605172";"12";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Ford Ecosporte Placa ELH 7700";"32000,00";"19/09/2018";"13:28:50"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"BA";"BA";"BAHIA";"50000605172";"15";"19";"Outros bens imóveis";"Participação no Loteamento Vitória na Cidade de Casa Nova-Ba, parte correspondente a 1/3.";"205000,00";"19/09/2018";"13:28:50"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"BA";"BA";"BAHIA";"50000608003";"1";"63";"Dinheiro em espécie - moeda nacional";"SALDO CONTA CORRENTE BRADESCO SA";"3,46";"19/09/2018";"13:28:50"
