"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000620358";"13";"13";"Terreno";"#NULO#";"3001,88";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000620362";"3";"13";"Terreno";"#NULO#";"43860,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615110";"1";"41";"Caderneta de poupança";"#NULO#";"301,28";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615132";"11";"14";"Terra nua";"#NULO#";"81160,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615132";"12";"39";"Outras participações societárias";"#NULO#";"126000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615136";"3";"19";"Outros bens imóveis";"#NULO#";"810000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615128";"5";"13";"Terreno";"#NULO#";"5000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615128";"13";"61";"Depósito bancário em conta corrente no País";"#NULO#";"4308,32";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615134";"1";"12";"Casa";"#NULO#";"100000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615109";"1";"13";"Terreno";"#NULO#";"5000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615121";"6";"13";"Terreno";"#NULO#";"121200,00";"25/09/2018";"18:52:06"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615127";"2";"11";"Apartamento";"#NULO#";"97156,17";"26/09/2018";"17:13:10"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615128";"3";"11";"Apartamento";"#NULO#";"45000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615132";"8";"14";"Terra nua";"#NULO#";"71450,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000615133";"8";"63";"Dinheiro em espécie - moeda nacional";"#NULO#";"210500,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000616709";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Yamaha/YS150 Fazer ED 2013/2014";"8000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000608292";"2";"13";"Terreno";"Um lote de terras situado à rua C181, qd-619, lote 04, setor Nova Suíça, Goiânia, com duas edificações IPTU 31006001510017 e IPTU 31006001510025";"349587,21";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000607643";"7";"14";"Terra nua";"#NULO#";"37000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000607681";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"40000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000607686";"4";"63";"Dinheiro em espécie - moeda nacional";"#NULO#";"28400,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000609449";"11";"12";"Casa";"#NULO#";"1249,10";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000609449";"12";"12";"Casa";"#NULO#";"7495,32";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000609449";"36";"13";"Terreno";"#NULO#";"999,24";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000609449";"56";"13";"Terreno";"#NULO#";"1551,16";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000609449";"67";"13";"Terreno";"#NULO#";"299,70";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000609449";"91";"13";"Terreno";"#NULO#";"213,52";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000616487";"3";"16";"Construção";"50% DA CASA EM CONSTRUÇÃO,  BRASÍLIA-DF";"928237,56";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000607665";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"28000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000607681";"1";"12";"Casa";"#NULO#";"80000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000607686";"10";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"50900,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000609449";"21";"19";"Outros bens imóveis";"#NULO#";"5953,14";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000609449";"71";"13";"Terreno";"#NULO#";"11892,61";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000619131";"4";"13";"Terreno";"TERRENO NO BAIRRO FILOSTRO - ANÁPOLIS - GOIÁS";"80000,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000607663";"2";"63";"Dinheiro em espécie - moeda nacional";"#NULO#";"5233,00";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000607689";"1";"63";"Dinheiro em espécie - moeda nacional";"#NULO#";"7171,09";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000609449";"93";"13";"Terreno";"#NULO#";"220,69";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000609449";"94";"13";"Terreno";"#NULO#";"1406,41";"21/09/2018";"11:38:36"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"GO";"GO";"GOIÁS";"90000616503";"12";"61";"Depósito bancário em conta corrente no País";"#NULO#";"16268,26";"21/09/2018";"11:38:36"
