"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MA";"MA";"MARANHÃO";"100000603925";"2";"12";"Casa";"#NULO#";"60250,00";"21/09/2018";"16:04:59"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MA";"MA";"MARANHÃO";"100000603921";"34";"14";"Terra nua";"#NULO#";"3462,80";"21/09/2018";"16:04:59"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MA";"MA";"MARANHÃO";"100000613997";"3";"97";"VGBL - Vida Gerador de Benefício Livre";"#NULO#";"303973,38";"21/09/2018";"16:04:59"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MA";"MA";"MARANHÃO";"100000614367";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"8000,00";"21/09/2018";"16:04:59"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MA";"MA";"MARANHÃO";"100000614377";"3";"2";"Prédio comercial";"#NULO#";"800000,00";"21/09/2018";"16:04:59"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MA";"MA";"MARANHÃO";"100000615098";"6";"32";"Quotas ou quinhões de capital";"#NULO#";"3384,00";"21/09/2018";"16:04:59"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MA";"MA";"MARANHÃO";"100000608139";"9";"32";"Quotas ou quinhões de capital";"#NULO#";"327000,00";"21/09/2018";"16:04:59"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MA";"MA";"MARANHÃO";"100000618794";"1";"13";"Terreno";"#NULO#";"250000,00";"21/09/2018";"16:04:59"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MA";"MA";"MARANHÃO";"100000615098";"5";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"2030,00";"21/09/2018";"16:04:59"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MA";"MA";"MARANHÃO";"100000608141";"4";"61";"Depósito bancário em conta corrente no País";"#NULO#";"8449,72";"21/09/2018";"16:04:59"
