"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000605248";"1";"63";"Dinheiro em espécie - moeda nacional";"DISPONIBILIDADE FINANCEIRA";"345000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604462";"2";"14";"Terra nua";"#NULO#";"80000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604459";"5";"12";"Casa";"#NULO#";"30000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604488";"2";"12";"Casa";"#NULO#";"40000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000605964";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TOYOTA COROLA 2013";"82000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000605965";"11";"92";"Título de clube e assemelhado";"SOCIO REMIDO DA ASSEMBLEIA PARAENSE";"6000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000605994";"10";"95";"Consórcio não contemplado";"BRADESCO GRUPO 0463- COTA 418";"58660,17";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000614288";"1";"32";"Quotas ou quinhões de capital";"quotas ou quinhão de capital";"5000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000614293";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"21066,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000614308";"8";"79";"Outros fundos";"#NULO#";"700000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000614326";"3";"97";"VGBL - Vida Gerador de Benefício Livre";"#NULO#";"67343,85";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604427";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"22000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604443";"1";"11";"Apartamento";"#NULO#";"305000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000605971";"8";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUDI A-4";"174990,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000605985";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"NISSAN MARCH PLACA QEF 9909";"23032,19";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000625827";"1";"11";"Apartamento";"#NULO#";"150000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000614284";"9";"13";"Terreno";"UM TERRENO URBANO LOCALIZADO NA AVENIDA RIO BRANCO, 363 COM AREA DE 540 METROS";"60000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000614330";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"120150,62";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604426";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"14000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604430";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"4000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604441";"1";"12";"Casa";"#NULO#";"37088,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000605992";"1";"63";"Dinheiro em espécie - moeda nacional";"CAIXA";"500000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000625833";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"15000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000614294";"11";"29";"Outros bens móveis";"REBOQUE";"5000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000614330";"1";"1";"Prédio residencial";"#NULO#";"225000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000605987";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"NISSAN MARCH";"22000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000605994";"20";"15";"Sala ou conjunto";"PLENO COMERCIAL";"34921,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000627800";"1";"39";"Outras participações societárias";"#NULO#";"580000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604218";"1";"49";"Outras aplicações e Investimentos";"SALDO EM CONTA CORRETE BRADESCO";"907,50";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604216";"11";"49";"Outras aplicações e Investimentos";"APLICACAO DE RENDA FIXA";"5539,78";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604314";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"7000,00";"24/09/2018";"09:53:22"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PA";"PA";"PARÁ";"140000604327";"9";"32";"Quotas ou quinhões de capital";"#NULO#";"5000,00";"24/09/2018";"09:53:22"
