"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PB";"PB";"PARAÍBA";"150000612356";"6";"13";"Terreno";"#NULO#";"15750,00";"18/09/2018";"18:09:11"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PB";"PB";"PARAÍBA";"150000612361";"6";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"180000,00";"18/09/2018";"18:09:11"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PB";"PB";"PARAÍBA";"150000617586";"4";"49";"Outras aplicações e Investimentos";"#NULO#";"35000,00";"18/09/2018";"18:09:11"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PB";"PB";"PARAÍBA";"150000617608";"13";"3";"Galpão";"#NULO#";"17056,34";"18/09/2018";"18:09:11"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PB";"PB";"PARAÍBA";"150000603458";"5";"99";"OUTROS BENS E DIREITOS";"#NULO#";"22500,00";"18/09/2018";"18:09:11"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PB";"PB";"PARAÍBA";"150000612370";"5";"49";"Outras aplicações e Investimentos";"#NULO#";"31500,00";"18/09/2018";"18:09:11"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PB";"PB";"PARAÍBA";"150000617595";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"27774,00";"18/09/2018";"18:09:11"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PB";"PB";"PARAÍBA";"150000603457";"9";"13";"Terreno";"#NULO#";"326900,00";"18/09/2018";"18:09:11"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PB";"PB";"PARAÍBA";"150000603480";"5";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"34000,00";"18/09/2018";"18:09:11"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PB";"PB";"PARAÍBA";"150000617602";"7";"13";"Terreno";"#NULO#";"30000,00";"18/09/2018";"18:09:11"
