"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000604105";"18";"14";"Terra nua";"UMA GLEBA DE TERRA COM ÁREA 91.44,80, LUGAR DENOMINADO DE MILAGRES, DATA RIACHÃO, LAGOA ALEGRE-PI, PASSANDO A SER DENOMINADA DE RANCHO ARIZONA ";"50000,00";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000604101";"1";"12";"Casa";"PARTE DE UMA CASA RESIDENCIAL, LOCALIZADA NA RUA SEN. CÂNDIDO FERRAZ, N. 2175, JÓQUEI, TERESINA-PI, ADQ. EM 22/08/2007.";"100000,00";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000607152";"2";"11";"Apartamento";"Apartamento de 70 metros quadrados localizado na Avenida João XXIII, 3820- Cond Boulevard João XXIII- AP 1304 Ipê- CEP 64045-795 Bairro Recanto das Palmeiras Teresina Piauí";"300000,00";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000604098";"7";"49";"Outras aplicações e Investimentos";"SALDO PREVINVEST PGBL, CERTIFICADO CAIXA ECONOMICA FEDERAL , TERESINA PIAUI, ";"13667,32";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000604105";"6";"49";"Outras aplicações e Investimentos";"BB RF SIMPLES, CNPJ N. 22.051.699/0001-51";"39421,07";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000608764";"5";"13";"Terreno";"#NULO#";"120000,00";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000613945";"4";"49";"Outras aplicações e Investimentos";"BRASILPREV BANCO DO BRASIL, AG. 3507-6 CONTA CORRENTE 14750-8";"178998,08";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000608763";"2";"12";"Casa";"#NULO#";"80000,00";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000608781";"2";"11";"Apartamento";"#NULO#";"274900,00";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000614047";"5";"12";"Casa";"Casa residencial na Rua Olavo Bilac, 696, em Piripiri, reg de imóvel 3012";"5752,36";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000614047";"15";"17";"Benfeitorias";"benfeitoria na propriedade salgado 300 mil";"330000,00";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000615475";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"100000,00";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000614004";"8";"39";"Outras participações societárias";"Sócio proprietário da empresa Ciro Nogueira Agrop. E Imóveis LTDA ¿ 06.666.770/0001-54 com participação de 1% do Capital Social.";"30200,00";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000614004";"13";"11";"Apartamento";"Apartamento N E-002S1, sit. No subsolo, setor E, lote 5, Trecho 04 do SCE/SUL, Brasília/DF, financiado pela Caixa Econômica Federal.";"303924,47";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000612488";"4";"12";"Casa";"casa residencial, situada na Rua Desembargador João Mota, na cidade de jaicós - PI";"400000,00";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000615476";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"150000,00";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000614036";"1";"13";"Terreno";"1/6 parte de um terreno no bairro Ininga ¿ Teresina-pi";"4626,47";"23/09/2018";"18:43:00"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"PI";"PI";"PIAUÍ";"180000607136";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Fiat Palio Fire ano 2014";"20000,00";"23/09/2018";"18:43:00"
