"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RN";"RN";"RIO GRANDE DO NORTE";"200000612926";"1";"12";"Casa";"#NULO#";"130000,00";"19/09/2018";"19:01:32"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RN";"RN";"RIO GRANDE DO NORTE";"200000612930";"3";"63";"Dinheiro em espécie - moeda nacional";"QUANTIA EM COFRE";"231000,00";"19/09/2018";"19:01:32"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RN";"RN";"RIO GRANDE DO NORTE";"200000612920";"2";"12";"Casa";"NA RUA JOSÉ GURGEL 610 CIDADE ALTA , FELIPE GUERRA/RN";"150000,00";"19/09/2018";"19:01:32"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RN";"RN";"RIO GRANDE DO NORTE";"200000612931";"9";"41";"Caderneta de poupança";"#NULO#";"40620,35";"19/09/2018";"19:01:32"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RN";"RN";"RIO GRANDE DO NORTE";"200000612931";"29";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"#NULO#";"1126139,76";"19/09/2018";"19:01:32"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RN";"RN";"RIO GRANDE DO NORTE";"200000611397";"26";"2";"Prédio comercial";"PREDIO COMERCIAL CENTRO DE MOSSORO/RN";"70000,00";"19/09/2018";"19:01:32"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RN";"RN";"RIO GRANDE DO NORTE";"200000612925";"16";"61";"Depósito bancário em conta corrente no País";"#NULO#";"38,11";"19/09/2018";"19:01:32"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RN";"RN";"RIO GRANDE DO NORTE";"200000612931";"31";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"#NULO#";"1107274,73";"19/09/2018";"19:01:32"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RN";"RN";"RIO GRANDE DO NORTE";"200000612931";"37";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"#NULO#";"95358,77";"19/09/2018";"19:01:32"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RN";"RN";"RIO GRANDE DO NORTE";"200000612931";"57";"49";"Outras aplicações e Investimentos";"#NULO#";"500000,00";"19/09/2018";"19:01:32"
