"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000620336";"1";"12";"Casa";"#NULO#";"54000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000604627";"7";"19";"Outros bens imóveis";"#NULO#";"500000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000611016";"2";"32";"Quotas ou quinhões de capital";"Quotas ou quinhões de capital - D4 ADMINIST. E PARTICIP. LTDA ";"4890000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000609735";"4";"46";"Ouro, ativo financeiro";"Conta estilo banco do Brasil S.A. AG 4884-4 conta 5900-5 - saldo disponível ";"37975,11";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000607223";"1";"12";"Casa";"#NULO#";"400000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000618467";"20";"49";"Outras aplicações e Investimentos";"Fundo de Investimento junto ao Caixa Econômica Federal. ";"6891,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000609851";"15";"22";"Aeronave";"5% DA AERONAVE MARCA PIPER AIRCRAFT MODELO PA-34- 220T, MARCA SENECA V, NUMERO DE SÉRIE 34-49361 ANO FAB 2007, MATRICULA PR-JAN COM 2.730 HORAS DE VOO";"85000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000604626";"51";"14";"Terra nua";"AQUISICAO LOTE DE TERRA RURAL NO MUNICIPIO DE ENVIRA - AM COM AREA DE 10.000 HC";"336000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000609734";"5";"11";"Apartamento";"50% DE 1/3 DO APTO 214 LOCALIZADO N. 11 ANDAR DO EDIFICIO THE LANDMARK RESIDENCE HOTEL SITUADO NA ALAMEDA JAU N. 1607, N. 34 SUB-DISTRITO CERQUEIRA CESAR DE SAO PAULO-SP COM AREA PRIVATIVA 39,42M2 ARE";"55000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000604626";"25";"32";"Quotas ou quinhões de capital";"COTAS COOPERATIVA PORTO VELHO E REGIAO 01.664.968/0001-85";"6123,96";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000604626";"49";"13";"Terreno";"IMOVEL TERRA URBANO LOTE CHACARA N 34 SETOR NAZARE COM AREA DE 36.462 M2 ESCRITURA LIVRO N 10 FLS 031";"8300,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000611836";"4";"61";"Depósito bancário em conta corrente no País";"BANCO DO BRASIL C/C 2290-X";"1925,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000611015";"2";"61";"Depósito bancário em conta corrente no País";"Depósito bancário em conta corrente no Paí - Agência: 3181-X";"7291,57";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000604626";"65";"52";"Crédito decorrente de alienação";"VENDA APTO RESIDENCIAL BURLE MAX APTO 62-B P/ SR. ASSIS GURGACZ";"750000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000628878";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VW/VOYAGE ANO/MODELO 2008";"22000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000618719";"3";"13";"Terreno";"Lote Urbano 02, quadra 08, na rua  Rio de Janeiro, 2688, setor 03 município de Jaru/RO - adquirida em 10/2007. ";"56000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000609738";"1";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"BB LCI POS FIXADO COM RESGATE";"63000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000624832";"2";"12";"Casa";"#NULO#";"300000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000627749";"4";"2";"Prédio comercial";"RUA GOV. JORGE TEIXEIRA - JI-PARANÁ/RO";"450000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000611027";"8";"13";"Terreno";"LOTE DE TERRAS URBANAS N. 06, QUADRA 80-B DO SETOR 05.01, SITUADO NA RUA VINICIUS DE MORAES, COM TOTAL DE 330,00 M, TITULO DEFINITIVO DE PROPRIEDADE SOBRE IMOVEL R4615/2015, LIVRO N.016...";"5000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000609852";"9";"51";"Crédito decorrente de empréstimo";"DIREITO DE CRÉDITO POR MÚTUOS FENERATÍCIOS A SEU FILHO VAGNER LUCIANO GUIMARÃES DE ARAÚJO.";"1500000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000618714";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Veículo March, Marca Nissan, Ano 2012-2013, Placa NDQ 3228 - Renavam 00496694910";"17000,00";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000625649";"8";"51";"Crédito decorrente de empréstimo";"#NULO#";"572656,31";"24/09/2018";"09:23:04"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RO";"RO";"RONDÔNIA";"220000609857";"12";"79";"Outros fundos";"CONTA CORRENTE JUNTO AO BANCO DO BRASIL S/A.";"16556,39";"24/09/2018";"09:23:04"
