"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RR";"RR";"RORAIMA";"230000605256";"4";"32";"Quotas ou quinhões de capital";"Participação com percentual de 10% no Quadro Societario da Emp Centro Edu. Macunaima LTDA,CNPJ:04.648.671/0001-14,sendo cedido e transf parte das Quotas do mesmo capital p/ a Sr. Michelle S. Chahine.";"209750,00";"20/09/2018";"15:30:31"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RR";"RR";"RORAIMA";"230000608343";"5";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO L200, ANO 2013. SITUAÇÃO EM 31/12/2016 VENDIDO";"88871,00";"20/09/2018";"15:30:31"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RR";"RR";"RORAIMA";"230000614403";"5";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"92000,00";"20/09/2018";"15:30:31"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RR";"RR";"RORAIMA";"230000616414";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"moto  susuki ano 2005 placa NAQ 7400";"3500,00";"20/09/2018";"15:30:31"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RR";"RR";"RORAIMA";"230000616425";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Carro Marca Ford, Modelo KA-PLUS, Ano 2014/2015, Placa NAN 7221";"30000,00";"20/09/2018";"15:30:31"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RR";"RR";"RORAIMA";"230000601677";"10";"61";"Depósito bancário em conta corrente no País";"Saldo em cartão pré-pago n. 489410***5912 (USS 277,45 convertido em 01/08/2018 em cotação de R$ 3,75).";"1040,44";"20/09/2018";"15:30:31"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RR";"RR";"RORAIMA";"230000614391";"16";"61";"Depósito bancário em conta corrente no País";"SICCOOB";"21286,10";"20/09/2018";"15:30:31"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RR";"RR";"RORAIMA";"230000614403";"6";"41";"Caderneta de poupança";"#NULO#";"100000,00";"20/09/2018";"15:30:31"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RR";"RR";"RORAIMA";"230000616020";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"SUZUKI SX4, 2012, PLACA NUK 1212";"35000,00";"20/09/2018";"15:30:31"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RR";"RR";"RORAIMA";"230000616043";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"BROS 2015/2016, PLACA NUJ 4198";"12500,00";"20/09/2018";"15:30:31"
