"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000607310";"3";"61";"Depósito bancário em conta corrente no País";"depósito BANRISUL, agência 0170, C/C 35853554.0-4.";"3000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000607319";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"automóvel FIAT/PALIO EX, 1998, azul, placa JFJ 4665.";"8500,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000617267";"1";"32";"Quotas ou quinhões de capital";"#NULO#";"800000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000607305";"12";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"automóvel Toyota Etios, ano 2016";"37000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000617269";"3";"12";"Casa";"#NULO#";"800000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000605337";"2";"11";"Apartamento";"#NULO#";"30093,39";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000605339";"1";"12";"Casa";"situada na Rua Irmã Bangel Huff, n. 500, casa 61, bairro Santa Rosa, Taquara-RS. Imóvel financiado em 18 parcelas tendo, até agora, quitado o valor de 17.117,00";"17117,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000607335";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTOCICLETA SUZUKI BOULEVARD - C-1500 - ANO 2006 - MODELO 2007 COR PRATA, PLACAS DRZ 3232-RS";"24600,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000617257";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"15000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000605346";"5";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Captiva Scort 2.4, ITM5656, cor preta, ano/modelo 2011/2012";"66200,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000604833";"3";"12";"Casa";"CASA COM TERRENO, EM XANGRI-LA-RS - NA RUA RIO CARREIRO , 216 - MATR. 58435";"237194,85";"19/09/2018";"11:22:11"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000604658";"9";"79";"Outros fundos";"AQUISICAO DE CRISTINA DUTRA PILLAR,CPF:334.150.640-34,BOX COBERTO NUMERO 12, EDIFICIO ORION,ALMIRANTE ABREU,299";"20000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000604658";"14";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AQUISICAO DE DOTTO VEICULOS LTDA,CNPJ:89.680.185/0002-17 VEICULO MARCA BMW XR ANO/MOD 2008/2009,PLACAS EJK 4448 EM 12/07/2016 EM NOME TABATA ROUFFIAX BIER";"70000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000616844";"6";"39";"Outras participações societárias";"#NULO#";"100000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000615817";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"43000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000611974";"7";"61";"Depósito bancário em conta corrente no País";"#NULO#";"10000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000616868";"6";"31";"Ações (inclusive as provenientes de linha telefônica)";"#NULO#";"100,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000611977";"7";"11";"Apartamento";"apartamento quitado em Porto Alegre ¿ RS, situado na Rua Barão do Amazonas, 1767, ap. 101.";"60000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000616442";"4";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"BANCO DO BRASIL ¿ SALDO EM RENDA FIXA";"68209,60";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000616454";"36";"13";"Terreno";"#NULO#";"60000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000616475";"3";"23";"Embarcação";"#NULO#";"45000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000616454";"18";"32";"Quotas ou quinhões de capital";"#NULO#";"25000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000616454";"35";"13";"Terreno";"#NULO#";"60000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000616454";"21";"63";"Dinheiro em espécie - moeda nacional";"#NULO#";"198350,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000616454";"27";"32";"Quotas ou quinhões de capital";"#NULO#";"1,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000616454";"40";"32";"Quotas ou quinhões de capital";"#NULO#";"25793,44";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000602754";"11";"13";"Terreno";"RECEBIDO POR DOACAO UM TERRENO NO 25, QUADRA 990, LOTEAMENTO DANTE GUERRA, BAIRRO SANTA CATARINA C/ AREA DE 444,45M2, MATR. 16046";"8000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000602780";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Veículo Ford Ecosport  xls 1.6 felx 2006/2007 preta KWN 0841. ";"22000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000605959";"1";"61";"Depósito bancário em conta corrente no País";"Banrisul agência 0822 conta 358517850-2";"0,00";"23/09/2018";"12:41:20"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000600970";"23";"99";"OUTROS BENS E DIREITOS";"Empréstimo para Yasmim Morsch Cherini. CPF 022 077 420 08";"10000,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000611394";"5";"61";"Depósito bancário em conta corrente no País";"Conta Corrente na Caixa Econômica Federal Ag 0913 Conta 00100011873-9";"15299,05";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000605900";"6";"16";"Construção";"BEM FEITORIA NA CASA, RUA OSVALDO ARANHA 283";"165522,39";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000600986";"11";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VW NOVO FOX BM MC,BRANCA,2015/2016,ALC/GAS";"44500,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000605932";"5";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL CHEVROLET SPIN 2012";"55270,00";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000605932";"11";"41";"Caderneta de poupança";"BANCO BRADESCO";"6514,97";"18/09/2018";"15:49:26"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"RS";"RS";"RIO GRANDE DO SUL";"210000605938";"3";"29";"Outros bens móveis";"EQUIPAMENTO ODONTOLÓGICO";"25680,00";"18/09/2018";"15:49:26"
