"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000605450";"8";"49";"Outras aplicações e Investimentos";"#NULO#";"1487621,26";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000605450";"15";"19";"Outros bens imóveis";"#NULO#";"83276,73";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000605457";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"460000,00";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000605461";"6";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"90000,00";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000605461";"11";"62";"Depósito bancário em conta corrente no exterior";"#NULO#";"5500,00";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000624037";"3";"12";"Casa";"#NULO#";"72906,05";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000624037";"4";"11";"Apartamento";"#NULO#";"70000,00";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000624057";"11";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"#NULO#";"85000,00";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000624058";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"72153,04";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000624061";"7";"61";"Depósito bancário em conta corrente no País";"#NULO#";"57,76";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000602874";"8";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"56000,00";"21/09/2018";"14:46:48"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000603998";"3";"32";"Quotas ou quinhões de capital";"escola padre anchieta ltda";"578,32";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000604016";"4";"14";"Terra nua";"1 GLEBA DE TERRA  NO DISTR. DE TAIAÇUPEBA - MOGI DAS CRUZES - SP";"228812,32";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000613417";"12";"99";"OUTROS BENS E DIREITOS";"#NULO#";"150455,24";"21/09/2018";"14:46:48"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000613429";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"#NULO#";"7876,18";"21/09/2018";"14:46:48"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000613430";"2";"97";"VGBL - Vida Gerador de Benefício Livre";"VGBL - Brasilprev ";"1458,40";"21/09/2018";"14:46:48"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000613438";"8";"61";"Depósito bancário em conta corrente no País";"Saldo Conta Corrente Banco Itaú";"64039,21";"21/09/2018";"14:46:48"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000605456";"6";"11";"Apartamento";"#NULO#";"125000,00";"21/09/2018";"14:46:49"
"27/09/2018";"19:04:45";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"SP";"SP";"SÃO PAULO";"250000605458";"13";"79";"Outros fundos";"#NULO#";"7957,45";"21/09/2018";"14:46:49"
